"dataset_name","technique","noise_level","threshold","critical_percentage","kappa_at_critical"
"cmc","JRip",30,0.05,30,0.04
"credit-g","JRip",30,0.05,30,0.04
"diabetes","JRip",30,0.05,30,0.05
"eucalyptus","JRip",30,0.05,50,0.05
"iris","JRip",30,0.05,20,0.05
"kc1","JRip",30,0.05,100,0.05
"liver-disorders","JRip",30,0.05,10,0.04
"mfeat-factors","JRip",30,0.05,100,0.02
"mfeat-karhunen","JRip",30,0.05,100,0.04
"mfeat-zernike","JRip",30,0.05,100,0.03
"ozone-level-8hr","JRip",30,0.05,60,0.05
"pc4","JRip",30,0.05,20,0.03
"phoneme","JRip",30,0.05,30,0.05
"qsar-biodeg","JRip",30,0.05,20,0.03
"tic-tac-toe","JRip",30,0.05,30,0.03
"vowel","JRip",30,0.05,20,0.03
"waveform-5000","JRip",30,0.05,60,0.05
"wdbc","JRip",30,0.05,100,0.03
"wilt","JRip",30,0.05,0,0
"analcatdata_authorship","lvq",30,0.05,100,0.01
"badges2","lvq",30,0.05,10,0.04
"banknote","lvq",30,0.05,70,0.05
"blood-transfusion-service-center","lvq",30,0.05,100,0
"breast-w","lvq",30,0.05,100,0.02
"cardiotocography","lvq",30,0.05,0,0
"climate-model-simulation-crashes","lvq",30,0.05,100,0
"cmc","lvq",30,0.05,30,0.04
"credit-g","lvq",30,0.05,10,0.05
"diabetes","lvq",30,0.05,20,0.04
"eucalyptus","lvq",30,0.05,80,0.05
"iris","lvq",30,0.05,70,0.05
"kc1","lvq",30,0.05,20,0.04
"liver-disorders","lvq",30,0.05,20,0.02
"mfeat-factors","lvq",30,0.05,100,0
"mfeat-karhunen","lvq",30,0.05,100,0.01
"mfeat-zernike","lvq",30,0.05,100,0
"ozone-level-8hr","lvq",30,0.05,20,0
"pc4","lvq",30,0.05,10,0.05
"phoneme","lvq",30,0.05,100,0.02
"qsar-biodeg","lvq",30,0.05,50,0.05
"tic-tac-toe","lvq",30,0.05,40,0.05
"vowel","lvq",30,0.05,70,0.05
"waveform-5000","lvq",30,0.05,100,0.04
"wdbc","lvq",30,0.05,20,0.04
"wilt","lvq",30,0.05,100,0
"analcatdata_authorship","mlpML",30,0.05,100,0
"badges2","mlpML",30,0.05,10,0.04
"banknote","mlpML",30,0.05,100,0.03
"blood-transfusion-service-center","mlpML",30,0.05,100,0
"breast-w","mlpML",30,0.05,100,0.03
"cardiotocography","mlpML",30,0.05,100,0
"climate-model-simulation-crashes","mlpML",30,0.05,70,0.04
"cmc","mlpML",30,0.05,100,0
"credit-g","mlpML",30,0.05,100,0
"diabetes","mlpML",30,0.05,100,0
"eucalyptus","mlpML",30,0.05,100,0
"iris","mlpML",30,0.05,20,0.04
"kc1","mlpML",30,0.05,100,0
"liver-disorders","mlpML",30,0.05,100,0
"mfeat-factors","mlpML",30,0.05,100,0
"mfeat-karhunen","mlpML",30,0.05,100,0.04
"mfeat-zernike","mlpML",30,0.05,100,0
"ozone-level-8hr","mlpML",30,0.05,100,0
"pc4","mlpML",30,0.05,100,0
"phoneme","mlpML",30,0.05,30,0.05
"qsar-biodeg","mlpML",30,0.05,100,0
"tic-tac-toe","mlpML",30,0.05,30,0.05
"vowel","mlpML",30,0.05,50,0.04
"waveform-5000","mlpML",30,0.05,100,0.04
"wdbc","mlpML",30,0.05,100,0
"wilt","mlpML",30,0.05,100,0
"analcatdata_authorship","multinom",30,0.05,100,0.01
"badges2","multinom",30,0.05,20,0.02
"banknote","multinom",30,0.05,80,0.05
"blood-transfusion-service-center","multinom",30,0.05,20,0.03
"breast-w","multinom",30,0.05,100,0.02
"cardiotocography","multinom",30,0.05,100,0.01
"climate-model-simulation-crashes","multinom",30,0.05,40,0.05
"cmc","multinom",30,0.05,40,0.05
"credit-g","multinom",30,0.05,40,0.05
"diabetes","multinom",30,0.05,50,0.05
"eucalyptus","multinom",30,0.05,50,0.05
"iris","multinom",30,0.05,20,0.04
"kc1","multinom",30,0.05,0,0
"liver-disorders","multinom",30,0.05,10,0.04
"mfeat-factors","multinom",30,0.05,60,0.05
"mfeat-karhunen","multinom",30,0.05,100,0.04
"mfeat-zernike","multinom",30,0.05,0,0
"ozone-level-8hr","multinom",30,0.05,10,0.04
"pc4","multinom",30,0.05,0,0
"phoneme","multinom",30,0.05,60,0.04
"qsar-biodeg","multinom",30,0.05,60,0.05
"tic-tac-toe","multinom",30,0.05,20,0.04
"vowel","multinom",30,0.05,20,0.05
"waveform-5000","multinom",30,0.05,80,0.05
"wdbc","multinom",30,0.05,80,0.05
"wilt","multinom",30,0.05,0,0
"analcatdata_authorship","naive_bayes",30,0.05,100,0.01
"badges2","naive_bayes",30,0.05,20,0.04
"banknote","naive_bayes",30,0.05,50,0.05
"blood-transfusion-service-center","naive_bayes",30,0.05,60,0.05
"breast-w","naive_bayes",30,0.05,100,0.01
"cardiotocography","naive_bayes",30,0.05,20,0.04
"climate-model-simulation-crashes","naive_bayes",30,0.05,50,0.05
"cmc","naive_bayes",30,0.05,10,0.03
"credit-g","naive_bayes",30,0.05,100,0
"diabetes","naive_bayes",30,0.05,70,0.04
"eucalyptus","naive_bayes",30,0.05,100,0
"iris","naive_bayes",30,0.05,80,0.05
"kc1","naive_bayes",30,0.05,100,0
"liver-disorders","naive_bayes",30,0.05,10,0.02
"mfeat-factors","naive_bayes",30,0.05,100,0
"mfeat-karhunen","naive_bayes",30,0.05,100,0.01
"mfeat-zernike","naive_bayes",30,0.05,100,0.01
"ozone-level-8hr","naive_bayes",30,0.05,100,0.05
"pc4","naive_bayes",30,0.05,100,0.03
"phoneme","naive_bayes",30,0.05,50,0.05
"qsar-biodeg","naive_bayes",30,0.05,30,0.05
"tic-tac-toe","naive_bayes",30,0.05,20,0.03
"vowel","naive_bayes",30,0.05,50,0.05
"waveform-5000","naive_bayes",30,0.05,90,0.05
"wdbc","naive_bayes",30,0.05,100,0.01
"wilt","naive_bayes",30,0.05,0,0
"analcatdata_authorship","PART",30,0.05,100,0.01
"badges2","PART",30,0.05,20,0.05
"banknote","PART",30,0.05,80,0.05
"blood-transfusion-service-center","PART",30,0.05,20,0.03
"breast-w","PART",30,0.05,100,0.02
"cardiotocography","PART",30,0.05,10,0.03
"climate-model-simulation-crashes","PART",30,0.05,40,0.04
"cmc","PART",30,0.05,20,0.04
"credit-g","PART",30,0.05,50,0.05
"diabetes","PART",30,0.05,40,0.05
"eucalyptus","PART",30,0.05,90,0.05
"iris","PART",30,0.05,40,0.05
"kc1","PART",30,0.05,100,0.04
"liver-disorders","PART",30,0.05,40,0.04
"mfeat-factors","PART",30,0.05,100,0.01
"mfeat-karhunen","PART",30,0.05,80,0.05
"mfeat-zernike","PART",30,0.05,100,0.03
"ozone-level-8hr","PART",30,0.05,100,0.04
"pc4","PART",30,0.05,10,0.04
"phoneme","PART",30,0.05,40,0.05
"qsar-biodeg","PART",30,0.05,40,0.05
"tic-tac-toe","PART",30,0.05,30,0.04
"vowel","PART",30,0.05,40,0.05
"waveform-5000","PART",30,0.05,100,0.03
"wdbc","PART",30,0.05,100,0.03
"wilt","PART",30,0.05,0,0
"analcatdata_authorship","rbfDDA",30,0.05,100,0.04
"badges2","rbfDDA",30,0.05,20,0.03
"banknote","rbfDDA",30,0.05,80,0.05
"blood-transfusion-service-center","rbfDDA",30,0.05,0,0
"breast-w","rbfDDA",30,0.05,100,0
"cardiotocography","rbfDDA",30,0.05,0,0
"climate-model-simulation-crashes","rbfDDA",30,0.05,100,0
"cmc","rbfDDA",30,0.05,20,0.05
"credit-g","rbfDDA",30,0.05,0,0
"diabetes","rbfDDA",30,0.05,30,0.05
"eucalyptus","rbfDDA",30,0.05,10,0.05
"iris","rbfDDA",30,0.05,30,0.05
"kc1","rbfDDA",30,0.05,0,0
"liver-disorders","rbfDDA",30,0.05,0,0
"mfeat-factors","rbfDDA",30,0.05,100,0
"mfeat-karhunen","rbfDDA",30,0.05,100,0.02
"mfeat-zernike","rbfDDA",30,0.05,100,0.03
"ozone-level-8hr","rbfDDA",30,0.05,10,0
"pc4","rbfDDA",30,0.05,0,0
"phoneme","rbfDDA",30,0.05,40,0.05
"qsar-biodeg","rbfDDA",30,0.05,20,0.04
"tic-tac-toe","rbfDDA",30,0.05,30,0.05
"vowel","rbfDDA",30,0.05,0,0
"waveform-5000","rbfDDA",30,0.05,40,0.04
"wdbc","rbfDDA",30,0.05,20,0.05
"wilt","rbfDDA",30,0.05,100,0
"analcatdata_authorship","rda",30,0.05,100,0.01
"badges2","rda",30,0.05,20,0.05
"banknote","rda",30,0.05,100,0.02
"blood-transfusion-service-center","rda",30,0.05,40,0.04
"breast-w","rda",30,0.05,100,0
"cardiotocography","rda",30,0.05,10,0.05
"climate-model-simulation-crashes","rda",30,0.05,50,0.04
"cmc","rda",30,0.05,30,0.04
"credit-g","rda",30,0.05,100,0
"diabetes","rda",30,0.05,40,0.05
"eucalyptus","rda",30,0.05,100,0
"iris","rda",30,0.05,50,0.05
"kc1","rda",30,0.05,0,0
"liver-disorders","rda",30,0.05,10,0.04
"mfeat-factors","rda",30,0.05,100,0
"mfeat-karhunen","rda",30,0.05,100,0.01
"mfeat-zernike","rda",30,0.05,0,0
"ozone-level-8hr","rda",30,0.05,20,0
"pc4","rda",30,0.05,100,0.04
"phoneme","rda",30,0.05,30,0.05
"qsar-biodeg","rda",30,0.05,30,0.05
"tic-tac-toe","rda",30,0.05,30,0.05
"vowel","rda",30,0.05,40,0.05
"waveform-5000","rda",30,0.05,100,0.05
"wdbc","rda",30,0.05,0,0
"wilt","rda",30,0.05,0,0
"analcatdata_authorship","rf",30,0.05,100,0
"badges2","rf",30,0.05,10,0.02
"banknote","rf",30,0.05,100,0.04
"blood-transfusion-service-center","rf",30,0.05,10,0.03
"breast-w","rf",30,0.05,100,0.01
"cardiotocography","rf",30,0.05,100,0
"climate-model-simulation-crashes","rf",30,0.05,10,0.05
"cmc","rf",30,0.05,30,0.05
"credit-g","rf",30,0.05,50,0.05
"diabetes","rf",30,0.05,40,0.05
"eucalyptus","rf",30,0.05,30,0.05
"iris","rf",30,0.05,50,0.04
"kc1","rf",30,0.05,100,0.03
"liver-disorders","rf",30,0.05,10,0.05
"mfeat-factors","rf",30,0.05,100,0
"mfeat-karhunen","rf",30,0.05,100,0
"mfeat-zernike","rf",30,0.05,100,0.02
"ozone-level-8hr","rf",30,0.05,70,0.04
"pc4","rf",30,0.05,20,0.04
"phoneme","rf",30,0.05,30,0.05
"qsar-biodeg","rf",30,0.05,60,0.05
"tic-tac-toe","rf",30,0.05,40,0.05
"vowel","rf",30,0.05,50,0.04
"waveform-5000","rf",30,0.05,100,0.05
"wdbc","rf",30,0.05,100,0
"wilt","rf",30,0.05,0,0
"analcatdata_authorship","rpart",30,0.05,70,0.05
"badges2","rpart",30,0.05,20,0.03
"banknote","rpart",30,0.05,30,0.05
"blood-transfusion-service-center","rpart",30,0.05,40,0.04
"breast-w","rpart",30,0.05,100,0.05
"cardiotocography","rpart",30,0.05,100,0
"climate-model-simulation-crashes","rpart",30,0.05,50,0
"cmc","rpart",30,0.05,40,0.05
"credit-g","rpart",30,0.05,50,0.05
"diabetes","rpart",30,0.05,30,0.05
"eucalyptus","rpart",30,0.05,30,0.04
"iris","rpart",30,0.05,50,0.05
"kc1","rpart",30,0.05,90,0.05
"liver-disorders","rpart",30,0.05,10,0.03
"mfeat-factors","rpart",30,0.05,70,0.05
"mfeat-karhunen","rpart",30,0.05,70,0.05
"mfeat-zernike","rpart",30,0.05,100,0.04
"ozone-level-8hr","rpart",30,0.05,100,0
"pc4","rpart",30,0.05,70,0.05
"phoneme","rpart",30,0.05,20,0.05
"qsar-biodeg","rpart",30,0.05,10,0.03
"tic-tac-toe","rpart",30,0.05,10,0.03
"vowel","rpart",30,0.05,20,0.05
"waveform-5000","rpart",30,0.05,40,0.05
"wdbc","rpart",30,0.05,100,0.03
"wilt","rpart",30,0.05,0,0
"analcatdata_authorship","simpls",30,0.05,100,0.02
"badges2","simpls",30,0.05,20,0.03
"banknote","simpls",30,0.05,100,0.03
"blood-transfusion-service-center","simpls",30,0.05,30,0.05
"breast-w","simpls",30,0.05,100,0.01
"cardiotocography","simpls",30,0.05,20,0.05
"climate-model-simulation-crashes","simpls",30,0.05,50,0
"cmc","simpls",30,0.05,30,0.05
"credit-g","simpls",30,0.05,100,0.05
"diabetes","simpls",30,0.05,40,0.04
"eucalyptus","simpls",30,0.05,100,0
"iris","simpls",30,0.05,100,0.05
"kc1","simpls",30,0.05,100,0.03
"liver-disorders","simpls",30,0.05,0,0
"mfeat-factors","simpls",30,0.05,100,0
"mfeat-karhunen","simpls",30,0.05,60,0.05
"mfeat-zernike","simpls",30,0.05,100,0.01
"ozone-level-8hr","simpls",30,0.05,100,0
"pc4","simpls",30,0.05,0,0
"phoneme","simpls",30,0.05,70,0.05
"qsar-biodeg","simpls",30,0.05,40,0.05
"tic-tac-toe","simpls",30,0.05,20,0.05
"vowel","simpls",30,0.05,30,0.04
"waveform-5000","simpls",30,0.05,90,0.05
"wdbc","simpls",30,0.05,40,0.04
"wilt","simpls",30,0.05,100,0
"analcatdata_authorship","svmLinear",30,0.05,100,0.01
"badges2","svmLinear",30,0.05,10,0.05
"banknote","svmLinear",30,0.05,100,0.03
"blood-transfusion-service-center","svmLinear",30,0.05,100,0
"breast-w","svmLinear",30,0.05,100,0.01
"cardiotocography","svmLinear",30,0.05,100,0
"climate-model-simulation-crashes","svmLinear",30,0.05,50,0.05
"cmc","svmLinear",30,0.05,30,0.05
"credit-g","svmLinear",30,0.05,40,0.04
"diabetes","svmLinear",30,0.05,50,0.05
"eucalyptus","svmLinear",30,0.05,80,0.05
"iris","svmLinear",30,0.05,80,0.05
"kc1","svmLinear",30,0.05,30,0.04
"liver-disorders","svmLinear",30,0.05,10,0.05
"mfeat-factors","svmLinear",30,0.05,100,0
"mfeat-karhunen","svmLinear",30,0.05,100,0.01
"mfeat-zernike","svmLinear",30,0.05,100,0.01
"ozone-level-8hr","svmLinear",30,0.05,10,0.03
"pc4","svmLinear",30,0.05,70,0.05
"phoneme","svmLinear",30,0.05,50,0.05
"qsar-biodeg","svmLinear",30,0.05,50,0.05
"tic-tac-toe","svmLinear",30,0.05,20,0.04
"vowel","svmLinear",30,0.05,30,0.03
"waveform-5000","svmLinear",30,0.05,100,0.05
"wdbc","svmLinear",30,0.05,100,0.03
"wilt","svmLinear",30,0.05,0,0
"analcatdata_authorship","svmRadial",30,0.05,100,0
"badges2","svmRadial",30,0.05,20,0.05
"banknote","svmRadial",30,0.05,100,0.01
"blood-transfusion-service-center","svmRadial",30,0.05,50,0.05
"breast-w","svmRadial",30,0.05,100,0.01
"cardiotocography","svmRadial",30,0.05,100,0
"climate-model-simulation-crashes","svmRadial",30,0.05,60,0
"cmc","svmRadial",30,0.05,30,0.05
"credit-g","svmRadial",30,0.05,0,0
"diabetes","svmRadial",30,0.05,30,0.03
"eucalyptus","svmRadial",30,0.05,50,0.04
"iris","svmRadial",30,0.05,70,0.04
"kc1","svmRadial",30,0.05,90,0
"liver-disorders","svmRadial",30,0.05,20,0.05
"mfeat-factors","svmRadial",30,0.05,100,0
"mfeat-karhunen","svmRadial",30,0.05,100,0
"mfeat-zernike","svmRadial",30,0.05,100,0
"ozone-level-8hr","svmRadial",30,0.05,100,0
"pc4","svmRadial",30,0.05,40,0.03
"phoneme","svmRadial",30,0.05,60,0.05
"qsar-biodeg","svmRadial",30,0.05,100,0.03
"tic-tac-toe","svmRadial",30,0.05,30,0.05
"vowel","svmRadial",30,0.05,100,0.04
"waveform-5000","svmRadial",30,0.05,100,0.05
"wdbc","svmRadial",30,0.05,100,0.01
"wilt","svmRadial",30,0.05,0,0
"analcatdata_authorship","rfRules",30,0.05,100,0.03
"badges2","rfRules",30,0.05,10,0.03
"banknote","rfRules",30,0.05,100,0.05
"blood-transfusion-service-center","rfRules",30,0.05,20,0.05
"breast-w","rfRules",30,0.05,100,0.01
"cardiotocography","rfRules",30,0.05,100,0
"climate-model-simulation-crashes","rfRules",30,0.05,50,0.03
"cmc","rfRules",30,0.05,20,0.04
"credit-g","rfRules",30,0.05,80,0.05
"diabetes","rfRules",30,0.05,40,0.05
"eucalyptus","rfRules",30,0.05,50,0.05
"iris","rfRules",30,0.05,50,0.05
"kc1","rfRules",30,0.05,100,0.04
"liver-disorders","rfRules",30,0.05,10,0.04
"mfeat-factors","rfRules",30,0.05,100,0.02
"mfeat-karhunen","rfRules",30,0.05,60,0.05
"mfeat-zernike","rfRules",30,0.05,100,0.03
"ozone-level-8hr","rfRules",30,0.05,100,0.01
"pc4","rfRules",30,0.05,10,0.03
"phoneme","rfRules",30,0.05,30,0.04
"qsar-biodeg","rfRules",30,0.05,100,0.04
"tic-tac-toe","rfRules",30,0.05,40,0.04
"vowel","rfRules",30,0.05,50,0.05
"waveform-5000","rfRules",30,0.05,50,0.04
"wdbc","rfRules",30,0.05,100,0.01
"wilt","rfRules",30,0.05,0,0
"analcatdata_authorship","knn",30,0.05,100,0
"badges2","knn",30,0.05,20,0.05
"banknote","knn",30,0.05,100,0.01
"blood-transfusion-service-center","knn",30,0.05,10,0.04
"breast-w","knn",30,0.05,100,0.01
"cardiotocography","knn",30,0.05,100,0
"climate-model-simulation-crashes","knn",30,0.05,100,0.03
"cmc","knn",30,0.05,20,0.04
"credit-g","knn",30,0.05,60,0.05
"diabetes","knn",30,0.05,50,0.05
"eucalyptus","knn",30,0.05,20,0.03
"iris","knn",30,0.05,70,0.05
"kc1","knn",30,0.05,20,0.04
"liver-disorders","knn",30,0.05,30,0.04
"mfeat-factors","knn",30,0.05,100,0.01
"mfeat-karhunen","knn",30,0.05,100,0.01
"mfeat-zernike","knn",30,0.05,100,0.01
"ozone-level-8hr","knn",30,0.05,60,0.05
"pc4","knn",30,0.05,50,0.04
"phoneme","knn",30,0.05,50,0.05
"qsar-biodeg","knn",30,0.05,100,0
"tic-tac-toe","knn",30,0.05,40,0.04
"vowel","knn",30,0.05,100,0
"waveform-5000","knn",30,0.05,100,0.04
"wdbc","knn",30,0.05,100,0.01
"wilt","knn",30,0.05,0,0
"analcatdata_authorship","bayesglm",30,0.05,100,0.01
"badges2","bayesglm",30,0.05,10,0.03
"banknote","bayesglm",30,0.05,80,0.05
"blood-transfusion-service-center","bayesglm",30,0.05,40,0.04
"breast-w","bayesglm",30,0.05,100,0.01
"cardiotocography","bayesglm",30,0.05,100,0
"climate-model-simulation-crashes","bayesglm",30,0.05,20,0.03
"cmc","bayesglm",30,0.05,30,0.05
"credit-g","bayesglm",30,0.05,30,0.05
"diabetes","bayesglm",30,0.05,70,0.05
"eucalyptus","bayesglm",30,0.05,60,0.05
"iris","bayesglm",30,0.05,80,0.05
"kc1","bayesglm",30,0.05,20,0.05
"liver-disorders","bayesglm",30,0.05,10,0.04
"mfeat-factors","bayesglm",30,0.05,100,0
"mfeat-karhunen","bayesglm",30,0.05,100,0.04
"mfeat-zernike","bayesglm",30,0.05,100,0.01
"ozone-level-8hr","bayesglm",30,0.05,10,0.03
"pc4","bayesglm",30,0.05,10,0.05
"phoneme","bayesglm",30,0.05,60,0.05
"qsar-biodeg","bayesglm",30,0.05,70,0.05
"tic-tac-toe","bayesglm",30,0.05,20,0.05
"vowel","bayesglm",30,0.05,20,0.05
"waveform-5000","bayesglm",30,0.05,70,0.05
"wdbc","bayesglm",30,0.05,100,0.03
"wilt","bayesglm",30,0.05,0,0
"analcatdata_authorship","C5.0",10,0.1,100,0
"badges2","C5.0",10,0.1,100,0.07
"banknote","C5.0",10,0.1,100,0
"blood-transfusion-service-center","C5.0",10,0.1,100,0.08
"breast-w","C5.0",10,0.1,100,0.01
"cardiotocography","C5.0",10,0.1,20,0.09
"climate-model-simulation-crashes","C5.0",10,0.1,100,0.05
"cmc","C5.0",10,0.1,70,0.1
"credit-g","C5.0",10,0.1,100,0.04
"diabetes","C5.0",10,0.1,100,0.03
"eucalyptus","C5.0",10,0.1,100,0.06
"iris","C5.0",10,0.1,100,0.02
"kc1","C5.0",10,0.1,100,0.08
"liver-disorders","C5.0",10,0.1,50,0.09
"mfeat-factors","C5.0",10,0.1,100,0
"mfeat-karhunen","C5.0",10,0.1,100,0.01
"mfeat-zernike","C5.0",10,0.1,100,0.02
"ozone-level-8hr","C5.0",10,0.1,100,0.01
"pc4","C5.0",10,0.1,60,0.09
"phoneme","C5.0",10,0.1,100,0.09
"qsar-biodeg","C5.0",10,0.1,100,0.06
"tic-tac-toe","C5.0",10,0.1,100,0.06
"vowel","C5.0",10,0.1,100,0.03
"waveform-5000","C5.0",10,0.1,100,0.02
"wdbc","C5.0",10,0.1,100,0.02
"wilt","C5.0",10,0.1,40,0.1
"analcatdata_authorship","ctree",10,0.1,100,0.02
"badges2","ctree",10,0.1,100,0.07
"banknote","ctree",10,0.1,100,0.05
"blood-transfusion-service-center","ctree",10,0.1,100,0.01
"breast-w","ctree",10,0.1,100,0.03
"cardiotocography","ctree",10,0.1,30,0.08
"climate-model-simulation-crashes","ctree",10,0.1,100,0.01
"cmc","ctree",10,0.1,80,0.1
"credit-g","ctree",10,0.1,100,0.05
"diabetes","ctree",10,0.1,100,0.05
"eucalyptus","ctree",10,0.1,100,0.08
"iris","ctree",10,0.1,100,0.01
"kc1","ctree",10,0.1,100,0.02
"liver-disorders","ctree",10,0.1,100,0.1
"mfeat-factors","ctree",10,0.1,100,0.01
"mfeat-karhunen","ctree",10,0.1,100,0.03
"mfeat-zernike","ctree",10,0.1,100,0.02
"ozone-level-8hr","ctree",10,0.1,100,0.1
"pc4","ctree",10,0.1,100,0.06
"phoneme","ctree",10,0.1,100,0.08
"qsar-biodeg","ctree",10,0.1,100,0.02
"tic-tac-toe","ctree",10,0.1,100,0.06
"vowel","ctree",10,0.1,100,0.04
"waveform-5000","ctree",10,0.1,100,0.02
"wdbc","ctree",10,0.1,100,0.02
"wilt","ctree",10,0.1,40,0.09
"analcatdata_authorship","fda",10,0.1,100,0
"badges2","fda",10,0.1,100,0.07
"banknote","fda",10,0.1,100,0.01
"blood-transfusion-service-center","fda",10,0.1,100,0.07
"breast-w","fda",10,0.1,100,0.01
"cardiotocography","fda",10,0.1,100,0.06
"climate-model-simulation-crashes","fda",10,0.1,100,0.03
"cmc","fda",10,0.1,100,0.07
"credit-g","fda",10,0.1,100,0.05
"diabetes","fda",10,0.1,100,0.03
"eucalyptus","fda",10,0.1,100,0.09
"iris","fda",10,0.1,100,0.02
"kc1","fda",10,0.1,100,0.06
"liver-disorders","fda",10,0.1,70,0.1
"mfeat-factors","fda",10,0.1,100,0.01
"mfeat-karhunen","fda",10,0.1,100,0.02
"mfeat-zernike","fda",10,0.1,100,0.02
"ozone-level-8hr","fda",10,0.1,100,0.08
"pc4","fda",10,0.1,60,0.08
"phoneme","fda",10,0.1,100,0.05
"qsar-biodeg","fda",10,0.1,100,0.03
"tic-tac-toe","fda",10,0.1,100,0.1
"vowel","fda",10,0.1,100,0.06
"waveform-5000","fda",10,0.1,100,0.03
"wdbc","fda",10,0.1,100,0.04
"wilt","fda",10,0.1,40,0.09
"analcatdata_authorship","gbm",10,0.1,100,0
"badges2","gbm",10,0.1,100,0.07
"banknote","gbm",10,0.1,100,0
"blood-transfusion-service-center","gbm",10,0.1,100,0.09
"breast-w","gbm",10,0.1,100,0
"cardiotocography","gbm",10,0.1,100,0
"climate-model-simulation-crashes","gbm",10,0.1,100,0.06
"cmc","gbm",10,0.1,100,0.01
"credit-g","gbm",10,0.1,100,0.05
"diabetes","gbm",10,0.1,100,0.03
"eucalyptus","gbm",10,0.1,100,0.06
"iris","gbm",10,0.1,100,0.05
"kc1","gbm",10,0.1,100,0.02
"liver-disorders","gbm",10,0.1,80,0.1
"mfeat-factors","gbm",10,0.1,100,0
"mfeat-karhunen","gbm",10,0.1,100,0.01
"mfeat-zernike","gbm",10,0.1,100,0.01
"ozone-level-8hr","gbm",10,0.1,100,0.02
"pc4","gbm",10,0.1,100,0.04
"phoneme","gbm",10,0.1,100,0.08
"qsar-biodeg","gbm",10,0.1,100,0.08
"tic-tac-toe","gbm",10,0.1,100,0.07
"vowel","gbm",10,0.1,100,0.04
"waveform-5000","gbm",10,0.1,100,0.02
"wdbc","gbm",10,0.1,100,0
"wilt","gbm",10,0.1,60,0.1
"analcatdata_authorship","gcvEarth",10,0.1,100,0
"badges2","gcvEarth",10,0.1,100,0.07
"banknote","gcvEarth",10,0.1,100,0
"blood-transfusion-service-center","gcvEarth",10,0.1,100,0.05
"breast-w","gcvEarth",10,0.1,100,0.01
"cardiotocography","gcvEarth",10,0.1,100,0
"climate-model-simulation-crashes","gcvEarth",10,0.1,100,0.05
"cmc","gcvEarth",10,0.1,100,0.07
"credit-g","gcvEarth",10,0.1,100,0.05
"diabetes","gcvEarth",10,0.1,100,0.04
"eucalyptus","gcvEarth",10,0.1,100,0.1
"iris","gcvEarth",10,0.1,100,0.05
"kc1","gcvEarth",10,0.1,40,0.09
"liver-disorders","gcvEarth",10,0.1,100,0.09
"mfeat-factors","gcvEarth",10,0.1,100,0.01
"mfeat-karhunen","gcvEarth",10,0.1,100,0.01
"mfeat-zernike","gcvEarth",10,0.1,100,0.01
"ozone-level-8hr","gcvEarth",10,0.1,100,0.07
"pc4","gcvEarth",10,0.1,70,0.1
"phoneme","gcvEarth",10,0.1,100,0.06
"qsar-biodeg","gcvEarth",10,0.1,100,0.03
"tic-tac-toe","gcvEarth",10,0.1,100,0.1
"vowel","gcvEarth",10,0.1,100,0.07
"waveform-5000","gcvEarth",10,0.1,100,0.03
"wdbc","gcvEarth",10,0.1,100,0.05
"wilt","gcvEarth",10,0.1,40,0.1
"analcatdata_authorship","JRip",10,0.1,100,0.01
"badges2","JRip",10,0.1,100,0.07
"banknote","JRip",10,0.1,100,0.03
"blood-transfusion-service-center","JRip",10,0.1,100,0.07
"breast-w","JRip",10,0.1,100,0
"cardiotocography","JRip",10,0.1,100,0.09
"climate-model-simulation-crashes","JRip",10,0.1,100,0.02
"cmc","JRip",10,0.1,80,0.1
"credit-g","JRip",10,0.1,100,0.04
"diabetes","JRip",10,0.1,100,0.05
"eucalyptus","JRip",10,0.1,100,0.03
"iris","JRip",10,0.1,100,0.01
"kc1","JRip",10,0.1,100,0.03
"liver-disorders","JRip",10,0.1,100,0.09
"mfeat-factors","JRip",10,0.1,100,0.01
"mfeat-karhunen","JRip",10,0.1,100,0.02
"mfeat-zernike","JRip",10,0.1,100,0.01
"ozone-level-8hr","JRip",10,0.1,100,0.03
"pc4","JRip",10,0.1,70,0.09
"phoneme","JRip",10,0.1,100,0.07
"qsar-biodeg","JRip",10,0.1,100,0.07
"tic-tac-toe","JRip",10,0.1,100,0.06
"vowel","JRip",10,0.1,100,0.07
"waveform-5000","JRip",10,0.1,100,0.03
"wdbc","JRip",10,0.1,100,0.01
"wilt","JRip",10,0.1,40,0.1
"analcatdata_authorship","lvq",10,0.1,100,0.01
"badges2","lvq",10,0.1,100,0
"banknote","lvq",10,0.1,100,0.03
"blood-transfusion-service-center","lvq",10,0.1,100,0
"breast-w","lvq",10,0.1,100,0
"cardiotocography","lvq",10,0.1,20,0.07
"climate-model-simulation-crashes","lvq",10,0.1,100,0
"cmc","lvq",10,0.1,100,0.06
"credit-g","lvq",10,0.1,30,0.1
"diabetes","lvq",10,0.1,100,0.05
"eucalyptus","lvq",10,0.1,100,0
"iris","lvq",10,0.1,100,0.02
"kc1","lvq",10,0.1,100,0.04
"liver-disorders","lvq",10,0.1,100,0.08
"mfeat-factors","lvq",10,0.1,100,0
"mfeat-karhunen","lvq",10,0.1,100,0
"mfeat-zernike","lvq",10,0.1,100,0
"ozone-level-8hr","lvq",10,0.1,70,0.1
"pc4","lvq",10,0.1,20,0.05
"phoneme","lvq",10,0.1,100,0.01
