dataset,method,noise_levels,instance_level,original_kappa_loss,train_noise_kappa_loss,kappa_loss_diff,original_accuracy,train_noise_accuracy,accuracy_diff
badges2,rfRules,0.3,0.75,0.234,0.233,-0.001,0.901,0.905,0.004
badges2,rfRules,0.3,0.8,0.234,0.248,0.014,0.901,0.898,-0.003
badges2,rfRules,0.3,0.9,0.241,0.264,0.023,0.898,0.891,-0.007
badges2,rfRules,0.3,1,0.296,0.296,0,0.878,0.878,0
badges2,rpart,0.1,0.1,0.017,0.009,-0.008,0.993,0.997,0.004
badges2,rpart,0.1,0.2,0.025,0.009,-0.016,0.99,0.997,0.007
badges2,rpart,0.1,0.25,0.033,0.009,-0.024,0.986,0.997,0.011
badges2,rpart,0.1,0.3,0.042,0.009,-0.033,0.983,0.997,0.014
badges2,rpart,0.1,0.4,0.068,0.035,-0.033,0.973,0.986,0.013
badges2,rpart,0.1,0.5,0.068,0.043,-0.025,0.973,0.983,0.01
badges2,rpart,0.1,0.6,0.084,0.06,-0.024,0.966,0.976,0.01
badges2,rpart,0.1,0.7,0.084,0.06,-0.024,0.966,0.976,0.01
badges2,rpart,0.1,0.75,0.092,0.076,-0.016,0.962,0.969,0.007
badges2,rpart,0.1,0.8,0.092,0.076,-0.016,0.962,0.969,0.007
badges2,rpart,0.1,0.9,0.092,0.084,-0.008,0.962,0.966,0.004
badges2,rpart,0.1,1,0.092,0.092,0,0.962,0.962,0
badges2,rpart,0.2,0.1,0.025,0.008,-0.017,0.99,0.997,0.007
badges2,rpart,0.2,0.2,0.067,0.025,-0.042,0.973,0.99,0.017
badges2,rpart,0.2,0.25,0.083,0.05,-0.033,0.966,0.98,0.014
badges2,rpart,0.2,0.3,0.083,0.077,-0.006,0.966,0.969,0.003
badges2,rpart,0.2,0.4,0.107,0.093,-0.014,0.956,0.963,0.007
badges2,rpart,0.2,0.5,0.123,0.135,0.012,0.949,0.946,-0.003
badges2,rpart,0.2,0.6,0.156,0.143,-0.013,0.935,0.942,0.007
badges2,rpart,0.2,0.7,0.173,0.151,-0.022,0.929,0.939,0.01
badges2,rpart,0.2,0.75,0.182,0.159,-0.023,0.925,0.935,0.01
badges2,rpart,0.2,0.8,0.191,0.159,-0.032,0.922,0.935,0.013
badges2,rpart,0.2,0.9,0.216,0.186,-0.03,0.912,0.925,0.013
badges2,rpart,0.2,1,0.216,0.216,0,0.912,0.912,0
badges2,rpart,0.3,0.1,0.025,0.008,-0.017,0.99,0.997,0.007
badges2,rpart,0.3,0.2,0.059,0.008,-0.051,0.976,0.997,0.021
badges2,rpart,0.3,0.25,0.067,0.016,-0.051,0.973,0.993,0.02
badges2,rpart,0.3,0.3,0.084,0.025,-0.059,0.966,0.99,0.024
badges2,rpart,0.3,0.4,0.118,0.049,-0.069,0.952,0.98,0.028
badges2,rpart,0.3,0.5,0.169,0.09,-0.079,0.932,0.963,0.031
badges2,rpart,0.3,0.6,0.211,0.149,-0.062,0.915,0.939,0.024
badges2,rpart,0.3,0.7,0.235,0.174,-0.061,0.905,0.929,0.024
badges2,rpart,0.3,0.75,0.249,0.206,-0.043,0.898,0.915,0.017
badges2,rpart,0.3,0.8,0.256,0.222,-0.034,0.895,0.908,0.013
badges2,rpart,0.3,0.9,0.263,0.274,0.011,0.891,0.888,-0.003
badges2,rpart,0.3,1,0.296,0.296,0,0.878,0.878,0
badges2,simpls,0.1,0.1,0.008,0.017,0.009,0.997,0.993,-0.004
badges2,simpls,0.1,0.2,0.017,0.017,0,0.993,0.993,0
badges2,simpls,0.1,0.25,0.043,0.017,-0.026,0.983,0.993,0.01
badges2,simpls,0.1,0.3,0.059,0.026,-0.033,0.976,0.99,0.014
badges2,simpls,0.1,0.4,0.059,0.042,-0.017,0.976,0.983,0.007
badges2,simpls,0.1,0.5,0.059,0.068,0.009,0.976,0.973,-0.003
badges2,simpls,0.1,0.6,0.068,0.084,0.016,0.973,0.966,-0.007
badges2,simpls,0.1,0.7,0.084,0.084,0,0.966,0.966,0
badges2,simpls,0.1,0.75,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,simpls,0.1,0.8,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,simpls,0.1,0.9,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,simpls,0.1,1,0.092,0.092,0,0.962,0.962,0
badges2,simpls,0.2,0.1,0.034,0.008,-0.026,0.986,0.997,0.011
badges2,simpls,0.2,0.2,0.042,0.026,-0.016,0.983,0.99,0.007
badges2,simpls,0.2,0.25,0.05,0.034,-0.016,0.98,0.986,0.006
badges2,simpls,0.2,0.3,0.059,0.034,-0.025,0.976,0.986,0.01
badges2,simpls,0.2,0.4,0.076,0.051,-0.025,0.969,0.98,0.011
badges2,simpls,0.2,0.5,0.076,0.076,0,0.969,0.969,0
badges2,simpls,0.2,0.6,0.101,0.084,-0.017,0.959,0.966,0.007
badges2,simpls,0.2,0.7,0.117,0.116,-0.001,0.952,0.952,0
badges2,simpls,0.2,0.75,0.135,0.125,-0.01,0.946,0.949,0.003
badges2,simpls,0.2,0.8,0.15,0.151,0.001,0.939,0.939,0
badges2,simpls,0.2,0.9,0.192,0.191,-0.001,0.922,0.922,0
badges2,simpls,0.2,1,0.216,0.216,0,0.912,0.912,0
badges2,simpls,0.3,0.1,0.008,0.017,0.009,0.997,0.993,-0.004
badges2,simpls,0.3,0.2,0.041,0.058,0.017,0.983,0.976,-0.007
badges2,simpls,0.3,0.25,0.049,0.067,0.018,0.98,0.973,-0.007
badges2,simpls,0.3,0.3,0.089,0.083,-0.006,0.963,0.966,0.003
badges2,simpls,0.3,0.4,0.136,0.1,-0.036,0.942,0.959,0.017
badges2,simpls,0.3,0.5,0.162,0.134,-0.028,0.932,0.946,0.014
badges2,simpls,0.3,0.6,0.171,0.157,-0.014,0.929,0.935,0.006
badges2,simpls,0.3,0.7,0.196,0.18,-0.016,0.918,0.925,0.007
badges2,simpls,0.3,0.75,0.205,0.227,0.022,0.915,0.905,-0.01
badges2,simpls,0.3,0.8,0.222,0.243,0.021,0.908,0.898,-0.01
badges2,simpls,0.3,0.9,0.257,0.268,0.011,0.895,0.888,-0.007
badges2,simpls,0.3,1,0.296,0.296,0,0.878,0.878,0
badges2,svmLinear,0.1,0.1,0.008,0.017,0.009,0.997,0.993,-0.004
badges2,svmLinear,0.1,0.2,0.017,0.017,0,0.993,0.993,0
badges2,svmLinear,0.1,0.25,0.043,0.017,-0.026,0.983,0.993,0.01
badges2,svmLinear,0.1,0.3,0.059,0.026,-0.033,0.976,0.99,0.014
badges2,svmLinear,0.1,0.4,0.059,0.042,-0.017,0.976,0.983,0.007
badges2,svmLinear,0.1,0.5,0.059,0.068,0.009,0.976,0.973,-0.003
badges2,svmLinear,0.1,0.6,0.068,0.084,0.016,0.973,0.966,-0.007
badges2,svmLinear,0.1,0.7,0.084,0.084,0,0.966,0.966,0
badges2,svmLinear,0.1,0.75,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,svmLinear,0.1,0.8,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,svmLinear,0.1,0.9,0.084,0.092,0.008,0.966,0.962,-0.004
badges2,svmLinear,0.1,1,0.092,0.092,0,0.962,0.962,0
badges2,svmLinear,0.2,0.1,0.034,0.008,-0.026,0.986,0.997,0.011
badges2,svmLinear,0.2,0.2,0.042,0.025,-0.017,0.983,0.99,0.007
badges2,svmLinear,0.2,0.25,0.05,0.033,-0.017,0.98,0.986,0.006
badges2,svmLinear,0.2,0.3,0.059,0.033,-0.026,0.976,0.986,0.01
badges2,svmLinear,0.2,0.4,0.076,0.05,-0.026,0.969,0.98,0.011
badges2,svmLinear,0.2,0.5,0.076,0.075,-0.001,0.969,0.969,0
badges2,svmLinear,0.2,0.6,0.101,0.083,-0.018,0.959,0.966,0.007
badges2,svmLinear,0.2,0.7,0.117,0.115,-0.002,0.952,0.952,0
badges2,svmLinear,0.2,0.75,0.135,0.124,-0.011,0.946,0.949,0.003
badges2,svmLinear,0.2,0.8,0.15,0.15,0,0.939,0.939,0
badges2,svmLinear,0.2,0.9,0.192,0.19,-0.002,0.922,0.922,0
badges2,svmLinear,0.2,1,0.216,0.214,-0.002,0.912,0.912,0
badges2,svmLinear,0.3,0.1,0.008,0.017,0.009,0.997,0.993,-0.004
badges2,svmLinear,0.3,0.2,0.041,0.058,0.017,0.983,0.976,-0.007
badges2,svmLinear,0.3,0.25,0.049,0.067,0.018,0.98,0.973,-0.007
badges2,svmLinear,0.3,0.3,0.089,0.083,-0.006,0.963,0.966,0.003
badges2,svmLinear,0.3,0.4,0.136,0.1,-0.036,0.942,0.959,0.017
badges2,svmLinear,0.3,0.5,0.162,0.134,-0.028,0.932,0.946,0.014
badges2,svmLinear,0.3,0.6,0.171,0.157,-0.014,0.929,0.935,0.006
badges2,svmLinear,0.3,0.7,0.196,0.18,-0.016,0.918,0.925,0.007
badges2,svmLinear,0.3,0.75,0.205,0.227,0.022,0.915,0.905,-0.01
badges2,svmLinear,0.3,0.8,0.222,0.243,0.021,0.908,0.898,-0.01
badges2,svmLinear,0.3,0.9,0.257,0.268,0.011,0.895,0.888,-0.007
badges2,svmLinear,0.3,1,0.296,0.296,0,0.878,0.878,0
badges2,svmRadial,0.1,0.1,0,0.008,0.008,1,0.997,-0.003
badges2,svmRadial,0.1,0.2,0.017,0.008,-0.009,0.993,0.997,0.004
badges2,svmRadial,0.1,0.25,0.017,0.017,0,0.993,0.993,0
badges2,svmRadial,0.1,0.3,0.026,0.017,-0.009,0.99,0.993,0.003
badges2,svmRadial,0.1,0.4,0.042,0.017,-0.025,0.983,0.993,0.01
badges2,svmRadial,0.1,0.5,0.051,0.034,-0.017,0.98,0.986,0.006
badges2,svmRadial,0.1,0.6,0.051,0.06,0.009,0.98,0.976,-0.004
badges2,svmRadial,0.1,0.7,0.076,0.068,-0.008,0.969,0.973,0.004
badges2,svmRadial,0.1,0.75,0.076,0.068,-0.008,0.969,0.973,0.004
badges2,svmRadial,0.1,0.8,0.085,0.076,-0.009,0.966,0.969,0.003
badges2,svmRadial,0.1,0.9,0.085,0.076,-0.009,0.966,0.969,0.003
badges2,svmRadial,0.1,1,0.093,0.076,-0.017,0.962,0.969,0.007
badges2,svmRadial,0.2,0.1,0.017,0.033,0.016,0.993,0.986,-0.007
badges2,svmRadial,0.2,0.2,0.017,0.058,0.041,0.993,0.976,-0.017
badges2,svmRadial,0.2,0.25,0.041,0.058,0.017,0.983,0.976,-0.007
badges2,svmRadial,0.2,0.3,0.058,0.075,0.017,0.976,0.969,-0.007
badges2,svmRadial,0.2,0.4,0.075,0.093,0.018,0.969,0.962,-0.007
badges2,svmRadial,0.2,0.5,0.098,0.117,0.019,0.959,0.952,-0.007
badges2,svmRadial,0.2,0.6,0.106,0.126,0.02,0.956,0.949,-0.007
badges2,svmRadial,0.2,0.7,0.131,0.157,0.026,0.946,0.935,-0.011
badges2,svmRadial,0.2,0.75,0.166,0.157,-0.009,0.932,0.935,0.003
badges2,svmRadial,0.2,0.8,0.166,0.157,-0.009,0.932,0.935,0.003
badges2,svmRadial,0.2,0.9,0.182,0.188,0.006,0.925,0.922,-0.003
badges2,svmRadial,0.2,1,0.216,0.212,-0.004,0.912,0.912,0
badges2,svmRadial,0.3,0.1,0.025,0.016,-0.009,0.99,0.993,0.003
badges2,svmRadial,0.3,0.2,0.074,0.066,-0.008,0.969,0.973,0.004
badges2,svmRadial,0.3,0.25,0.092,0.089,-0.003,0.963,0.963,0
badges2,svmRadial,0.3,0.3,0.109,0.089,-0.02,0.956,0.963,0.007
badges2,svmRadial,0.3,0.4,0.126,0.105,-0.021,0.949,0.956,0.007
badges2,svmRadial,0.3,0.5,0.134,0.121,-0.013,0.946,0.949,0.003
badges2,svmRadial,0.3,0.6,0.142,0.146,0.004,0.942,0.939,-0.003
badges2,svmRadial,0.3,0.7,0.202,0.17,-0.032,0.918,0.929,0.011
badges2,svmRadial,0.3,0.75,0.21,0.179,-0.031,0.915,0.925,0.01
badges2,svmRadial,0.3,0.8,0.242,0.209,-0.033,0.901,0.912,0.011
badges2,svmRadial,0.3,0.9,0.265,0.242,-0.023,0.891,0.898,0.007
badges2,svmRadial,0.3,1,0.289,0.258,-0.031,0.881,0.891,0.01
banknote,C5.0,0.1,0.1,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.2,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.25,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.3,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.4,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.5,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.6,0.001,0,-0.001,0.999,1,0.001
banknote,C5.0,0.1,0.7,0.001,0.001,0,0.999,0.999,0
banknote,C5.0,0.1,0.75,0.001,0.001,0,0.999,0.999,0
banknote,C5.0,0.1,0.8,0.001,0.003,0.002,0.999,0.999,0
banknote,C5.0,0.1,0.9,0.001,0.006,0.005,0.999,0.997,-0.002
banknote,C5.0,0.1,1,0.004,0.006,0.002,0.998,0.997,-0.001
banknote,C5.0,0.2,0.1,0.001,0.003,0.002,0.999,0.999,0
banknote,C5.0,0.2,0.2,0.007,0.004,-0.003,0.996,0.998,0.002
banknote,C5.0,0.2,0.25,0.007,0.006,-0.001,0.996,0.997,0.001
banknote,C5.0,0.2,0.3,0.007,0.006,-0.001,0.996,0.997,0.001
banknote,C5.0,0.2,0.4,0.009,0.007,-0.002,0.996,0.996,0
banknote,C5.0,0.2,0.5,0.013,0.007,-0.006,0.993,0.996,0.003
banknote,C5.0,0.2,0.6,0.016,0.007,-0.009,0.992,0.996,0.004
banknote,C5.0,0.2,0.7,0.018,0.009,-0.009,0.991,0.996,0.005
banknote,C5.0,0.2,0.75,0.018,0.012,-0.006,0.991,0.994,0.003
banknote,C5.0,0.2,0.8,0.021,0.012,-0.009,0.99,0.994,0.004
banknote,C5.0,0.2,0.9,0.025,0.013,-0.012,0.988,0.993,0.005
banknote,C5.0,0.2,1,0.028,0.013,-0.015,0.986,0.993,0.007
banknote,C5.0,0.3,0.1,0.006,0.003,-0.003,0.997,0.999,0.002
banknote,C5.0,0.3,0.2,0.007,0.004,-0.003,0.996,0.998,0.002
banknote,C5.0,0.3,0.25,0.007,0.004,-0.003,0.996,0.998,0.002
banknote,C5.0,0.3,0.3,0.012,0.004,-0.008,0.994,0.998,0.004
banknote,C5.0,0.3,0.4,0.012,0.004,-0.008,0.994,0.998,0.004
banknote,C5.0,0.3,0.5,0.016,0.006,-0.01,0.992,0.997,0.005
banknote,C5.0,0.3,0.6,0.018,0.007,-0.011,0.991,0.996,0.005
banknote,C5.0,0.3,0.7,0.018,0.007,-0.011,0.991,0.996,0.005
banknote,C5.0,0.3,0.75,0.021,0.009,-0.012,0.99,0.996,0.006
banknote,C5.0,0.3,0.8,0.024,0.009,-0.015,0.988,0.996,0.008
banknote,C5.0,0.3,0.9,0.027,0.012,-0.015,0.987,0.994,0.007
banknote,C5.0,0.3,1,0.032,0.013,-0.019,0.984,0.993,0.009
banknote,JRip,0.1,0.1,0.001,0.001,0,0.999,0.999,0
banknote,JRip,0.1,0.2,0.001,0.003,0.002,0.999,0.999,0
banknote,JRip,0.1,0.25,0.001,0.003,0.002,0.999,0.999,0
banknote,JRip,0.1,0.3,0.003,0.003,0,0.999,0.999,0
banknote,JRip,0.1,0.4,0.01,0.006,-0.004,0.995,0.997,0.002
banknote,JRip,0.1,0.5,0.01,0.007,-0.003,0.995,0.996,0.001
banknote,JRip,0.1,0.6,0.015,0.007,-0.008,0.993,0.996,0.003
banknote,JRip,0.1,0.7,0.015,0.009,-0.006,0.993,0.996,0.003
banknote,JRip,0.1,0.75,0.015,0.01,-0.005,0.993,0.995,0.002
banknote,JRip,0.1,0.8,0.015,0.012,-0.003,0.993,0.994,0.001
banknote,JRip,0.1,0.9,0.015,0.016,0.001,0.993,0.992,-0.001
banknote,JRip,0.1,1,0.018,0.016,-0.002,0.991,0.992,0.001
banknote,JRip,0.2,0.1,0.009,0.003,-0.006,0.996,0.999,0.003
banknote,JRip,0.2,0.2,0.013,0.004,-0.009,0.993,0.998,0.005
banknote,JRip,0.2,0.25,0.016,0.004,-0.012,0.992,0.998,0.006
banknote,JRip,0.2,0.3,0.022,0.007,-0.015,0.989,0.996,0.007
banknote,JRip,0.2,0.4,0.028,0.01,-0.018,0.986,0.995,0.009
banknote,JRip,0.2,0.5,0.028,0.013,-0.015,0.986,0.993,0.007
banknote,JRip,0.2,0.6,0.037,0.016,-0.021,0.982,0.992,0.01
banknote,JRip,0.2,0.7,0.043,0.021,-0.022,0.979,0.99,0.011
banknote,JRip,0.2,0.75,0.043,0.024,-0.019,0.979,0.988,0.009
banknote,JRip,0.2,0.8,0.044,0.027,-0.017,0.978,0.987,0.009
banknote,JRip,0.2,0.9,0.053,0.034,-0.019,0.974,0.983,0.009
banknote,JRip,0.2,1,0.055,0.034,-0.021,0.973,0.983,0.01
banknote,JRip,0.3,0.1,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,JRip,0.3,0.2,0.016,0.007,-0.009,0.992,0.996,0.004
banknote,JRip,0.3,0.25,0.018,0.01,-0.008,0.991,0.995,0.004
banknote,JRip,0.3,0.3,0.022,0.015,-0.007,0.989,0.993,0.004
banknote,JRip,0.3,0.4,0.031,0.021,-0.01,0.985,0.99,0.005
banknote,JRip,0.3,0.5,0.037,0.025,-0.012,0.982,0.988,0.006
banknote,JRip,0.3,0.6,0.043,0.029,-0.014,0.979,0.985,0.006
banknote,JRip,0.3,0.7,0.056,0.035,-0.021,0.972,0.982,0.01
banknote,JRip,0.3,0.75,0.058,0.037,-0.021,0.972,0.982,0.01
banknote,JRip,0.3,0.8,0.061,0.041,-0.02,0.97,0.98,0.01
banknote,JRip,0.3,0.9,0.065,0.047,-0.018,0.968,0.977,0.009
banknote,JRip,0.3,1,0.076,0.047,-0.029,0.963,0.977,0.014
banknote,PART,0.1,0.1,0,0,0,1,1,0
banknote,PART,0.1,0.2,0.003,0.003,0,0.999,0.999,0
banknote,PART,0.1,0.25,0.003,0.003,0,0.999,0.999,0
banknote,PART,0.1,0.3,0.003,0.003,0,0.999,0.999,0
banknote,PART,0.1,0.4,0.003,0.004,0.001,0.999,0.998,-0.001
banknote,PART,0.1,0.5,0.004,0.006,0.002,0.998,0.997,-0.001
banknote,PART,0.1,0.6,0.007,0.007,0,0.996,0.996,0
banknote,PART,0.1,0.7,0.007,0.007,0,0.996,0.996,0
banknote,PART,0.1,0.75,0.007,0.007,0,0.996,0.996,0
banknote,PART,0.1,0.8,0.009,0.007,-0.002,0.996,0.996,0
banknote,PART,0.1,0.9,0.01,0.007,-0.003,0.995,0.996,0.001
banknote,PART,0.1,1,0.012,0.01,-0.002,0.994,0.995,0.001
banknote,PART,0.2,0.1,0.009,0.001,-0.008,0.996,0.999,0.003
banknote,PART,0.2,0.2,0.012,0.004,-0.008,0.994,0.998,0.004
banknote,PART,0.2,0.25,0.013,0.004,-0.009,0.993,0.998,0.005
banknote,PART,0.2,0.3,0.019,0.004,-0.015,0.991,0.998,0.007
banknote,PART,0.2,0.4,0.024,0.006,-0.018,0.988,0.997,0.009
banknote,PART,0.2,0.5,0.025,0.006,-0.019,0.988,0.997,0.009
banknote,PART,0.2,0.6,0.028,0.006,-0.022,0.986,0.997,0.011
banknote,PART,0.2,0.7,0.033,0.007,-0.026,0.984,0.996,0.012
banknote,PART,0.2,0.75,0.034,0.01,-0.024,0.983,0.995,0.012
banknote,PART,0.2,0.8,0.037,0.015,-0.022,0.982,0.993,0.011
banknote,PART,0.2,0.9,0.041,0.018,-0.023,0.98,0.991,0.011
banknote,PART,0.2,1,0.044,0.024,-0.02,0.978,0.988,0.01
banknote,PART,0.3,0.1,0.007,0.003,-0.004,0.996,0.999,0.003
banknote,PART,0.3,0.2,0.01,0.007,-0.003,0.995,0.996,0.001
banknote,PART,0.3,0.25,0.013,0.01,-0.003,0.993,0.995,0.002
banknote,PART,0.3,0.3,0.016,0.016,0,0.992,0.992,0
banknote,PART,0.3,0.4,0.027,0.024,-0.003,0.987,0.988,0.001
banknote,PART,0.3,0.5,0.03,0.031,0.001,0.985,0.985,0
banknote,PART,0.3,0.6,0.036,0.035,-0.001,0.983,0.983,0
banknote,PART,0.3,0.7,0.044,0.038,-0.006,0.978,0.981,0.003
banknote,PART,0.3,0.75,0.047,0.041,-0.006,0.977,0.98,0.003
banknote,PART,0.3,0.8,0.056,0.044,-0.012,0.972,0.978,0.006
banknote,PART,0.3,0.9,0.071,0.052,-0.019,0.965,0.974,0.009
banknote,PART,0.3,1,0.079,0.053,-0.026,0.961,0.974,0.013
banknote,bayesglm,0.1,0.1,0.001,0,-0.001,0.999,1,0.001
banknote,bayesglm,0.1,0.2,0.001,0.001,0,0.999,0.999,0
banknote,bayesglm,0.1,0.25,0.001,0.003,0.002,0.999,0.999,0
banknote,bayesglm,0.1,0.3,0.001,0.003,0.002,0.999,0.999,0
banknote,bayesglm,0.1,0.4,0.004,0.004,0,0.998,0.998,0
banknote,bayesglm,0.1,0.5,0.006,0.004,-0.002,0.997,0.998,0.001
banknote,bayesglm,0.1,0.6,0.009,0.004,-0.005,0.996,0.998,0.002
banknote,bayesglm,0.1,0.7,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,bayesglm,0.1,0.75,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,bayesglm,0.1,0.8,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,bayesglm,0.1,0.9,0.013,0.009,-0.004,0.993,0.996,0.003
banknote,bayesglm,0.1,1,0.013,0.009,-0.004,0.993,0.996,0.003
banknote,bayesglm,0.2,0.1,0.004,0,-0.004,0.998,1,0.002
banknote,bayesglm,0.2,0.2,0.006,0.004,-0.002,0.997,0.998,0.001
banknote,bayesglm,0.2,0.25,0.007,0.006,-0.001,0.996,0.997,0.001
banknote,bayesglm,0.2,0.3,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,bayesglm,0.2,0.4,0.012,0.012,0,0.994,0.994,0
banknote,bayesglm,0.2,0.5,0.015,0.012,-0.003,0.993,0.994,0.001
banknote,bayesglm,0.2,0.6,0.015,0.013,-0.002,0.993,0.993,0
banknote,bayesglm,0.2,0.7,0.015,0.015,0,0.993,0.993,0
banknote,bayesglm,0.2,0.75,0.018,0.015,-0.003,0.991,0.993,0.002
banknote,bayesglm,0.2,0.8,0.021,0.016,-0.005,0.99,0.992,0.002
banknote,bayesglm,0.2,0.9,0.028,0.019,-0.009,0.986,0.991,0.005
banknote,bayesglm,0.2,1,0.03,0.019,-0.011,0.985,0.991,0.006
banknote,bayesglm,0.3,0.1,0.009,0.006,-0.003,0.996,0.997,0.001
banknote,bayesglm,0.3,0.2,0.015,0.012,-0.003,0.993,0.994,0.001
banknote,bayesglm,0.3,0.25,0.018,0.013,-0.005,0.991,0.993,0.002
banknote,bayesglm,0.3,0.3,0.021,0.015,-0.006,0.99,0.993,0.003
banknote,bayesglm,0.3,0.4,0.027,0.019,-0.008,0.987,0.991,0.004
banknote,bayesglm,0.3,0.5,0.033,0.022,-0.011,0.984,0.989,0.005
banknote,bayesglm,0.3,0.6,0.041,0.024,-0.017,0.98,0.988,0.008
banknote,bayesglm,0.3,0.7,0.044,0.028,-0.016,0.978,0.986,0.008
banknote,bayesglm,0.3,0.75,0.047,0.029,-0.018,0.977,0.985,0.008
banknote,bayesglm,0.3,0.8,0.052,0.031,-0.021,0.974,0.985,0.011
banknote,bayesglm,0.3,0.9,0.065,0.037,-0.028,0.968,0.982,0.014
banknote,bayesglm,0.3,1,0.073,0.038,-0.035,0.964,0.981,0.017
banknote,ctree,0.1,0.1,0,0.003,0.003,1,0.999,-0.001
banknote,ctree,0.1,0.2,0.003,0.004,0.001,0.999,0.998,-0.001
banknote,ctree,0.1,0.25,0.004,0.009,0.005,0.998,0.996,-0.002
banknote,ctree,0.1,0.3,0.006,0.009,0.003,0.997,0.996,-0.001
banknote,ctree,0.1,0.4,0.007,0.013,0.006,0.996,0.993,-0.003
banknote,ctree,0.1,0.5,0.012,0.018,0.006,0.994,0.991,-0.003
banknote,ctree,0.1,0.6,0.012,0.022,0.01,0.994,0.989,-0.005
banknote,ctree,0.1,0.7,0.012,0.027,0.015,0.994,0.987,-0.007
banknote,ctree,0.1,0.75,0.013,0.03,0.017,0.993,0.985,-0.008
banknote,ctree,0.1,0.8,0.018,0.031,0.013,0.991,0.985,-0.006
banknote,ctree,0.1,0.9,0.027,0.035,0.008,0.987,0.983,-0.004
banknote,ctree,0.1,1,0.028,0.041,0.013,0.986,0.98,-0.006
banknote,ctree,0.2,0.1,0.016,0.012,-0.004,0.992,0.994,0.002
banknote,ctree,0.2,0.2,0.025,0.015,-0.01,0.988,0.993,0.005
banknote,ctree,0.2,0.25,0.027,0.018,-0.009,0.987,0.991,0.004
banknote,ctree,0.2,0.3,0.029,0.021,-0.008,0.985,0.99,0.005
banknote,ctree,0.2,0.4,0.041,0.027,-0.014,0.98,0.987,0.007
banknote,ctree,0.2,0.5,0.049,0.029,-0.02,0.976,0.985,0.009
banknote,ctree,0.2,0.6,0.056,0.032,-0.024,0.972,0.984,0.012
banknote,ctree,0.2,0.7,0.065,0.044,-0.021,0.968,0.978,0.01
banknote,ctree,0.2,0.75,0.066,0.05,-0.016,0.967,0.975,0.008
banknote,ctree,0.2,0.8,0.072,0.052,-0.02,0.964,0.974,0.01
banknote,ctree,0.2,0.9,0.085,0.055,-0.03,0.958,0.973,0.015
banknote,ctree,0.2,1,0.088,0.059,-0.029,0.956,0.971,0.015
banknote,ctree,0.3,0.1,0.015,0.015,0,0.993,0.993,0
banknote,ctree,0.3,0.2,0.028,0.024,-0.004,0.986,0.988,0.002
banknote,ctree,0.3,0.25,0.034,0.031,-0.003,0.983,0.985,0.002
banknote,ctree,0.3,0.3,0.041,0.039,-0.002,0.98,0.981,0.001
banknote,ctree,0.3,0.4,0.046,0.056,0.01,0.977,0.972,-0.005
banknote,ctree,0.3,0.5,0.059,0.062,0.003,0.971,0.969,-0.002
banknote,ctree,0.3,0.6,0.065,0.073,0.008,0.968,0.964,-0.004
banknote,ctree,0.3,0.7,0.084,0.085,0.001,0.958,0.958,0
banknote,ctree,0.3,0.75,0.089,0.09,0.001,0.956,0.956,0
banknote,ctree,0.3,0.8,0.096,0.096,0,0.953,0.953,0
banknote,ctree,0.3,0.9,0.108,0.108,0,0.947,0.947,0
banknote,ctree,0.3,1,0.118,0.118,0,0.942,0.942,0
banknote,fda,0.1,0.1,0.003,0,-0.003,0.999,1,0.001
banknote,fda,0.1,0.2,0.003,0.001,-0.002,0.999,0.999,0
banknote,fda,0.1,0.25,0.004,0.001,-0.003,0.998,0.999,0.001
banknote,fda,0.1,0.3,0.004,0.001,-0.003,0.998,0.999,0.001
banknote,fda,0.1,0.4,0.004,0.003,-0.001,0.998,0.999,0.001
banknote,fda,0.1,0.5,0.004,0.004,0,0.998,0.998,0
banknote,fda,0.1,0.6,0.006,0.004,-0.002,0.997,0.998,0.001
banknote,fda,0.1,0.7,0.007,0.004,-0.003,0.996,0.998,0.002
banknote,fda,0.1,0.75,0.007,0.004,-0.003,0.996,0.998,0.002
banknote,fda,0.1,0.8,0.009,0.004,-0.005,0.996,0.998,0.002
banknote,fda,0.1,0.9,0.009,0.004,-0.005,0.996,0.998,0.002
banknote,fda,0.1,1,0.009,0.004,-0.005,0.996,0.998,0.002
banknote,fda,0.2,0.1,0,0.003,0.003,1,0.999,-0.001
banknote,fda,0.2,0.2,0.003,0.004,0.001,0.999,0.998,-0.001
banknote,fda,0.2,0.25,0.004,0.007,0.003,0.998,0.996,-0.002
